Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Azerbaijan,0.99983722262761,0.98030084021224,1.0312737515708,1.1793274799404,1.3059041762868,1.43637792281,1.1883339167814,1.0930807175031,0.99395130910512,0.91453043114536,0.87198486344321,0.75526810011186,0.68408951243126,0.67911484016209,0.61562622707812,0.51130501145869,0.385464766043,0.27974416807478,0.27889174877366,0.21315673867907,0.19347202942976,0.2186750001111,0.23568247748064,0.22951727347374,0.23296616687225,0.22705586482125,0.23710082333224,0.23515251214091,0.23779087348653,0.25183101973721,0.25971883098007,0.25361506146652
Burundi,0.038040336191908,0.048827982968902,0.039498388048758,0.046684361030899,0.050435505542164,0.054064301725597,0.062589141435708,0.065112163790306,0.065557037758016,0.068067306752819,0.063756824667041,0.049080336309239,0.043442091423627,0.036522502166053,0.041782399278245,0.035089299570062,0.041096403450619,0.063312724509881,0.036149152811114,0.0347904841931,0.04756166223924,0.054777496752116,0.050060793933354,0.053550730986562,0.045965218912369,0.050634689867237,0.055742039869286,0.063441028176907,0.082942600324266,0.086083283943674,0.076743960445118,0.080287009617636
Belgium,0.32955637555491,0.33446668017132,0.32371004864267,0.32156717388152,0.3251914885719,0.32089482234299,0.32912368664655,0.30956678222784,0.31195491820476,0.29115423901032,0.28508709349627,0.28443639641651,0.26335167111031,0.27139417724683,0.26010571073987,0.24576529786227,0.23624979581429,0.22048363216924,0.22283108413092,0.21129178228813,0.22050376679269,0.19740921899417,0.19322903017262,0.19510993799482,0.17938422795425,0.18432103135783,0.18008053678081,0.17448484580528,0.17256460764294,0.16807947173972,0.16117998413566,0.16041907114374
Benin,0.038340124232092,0.032567164996544,0.034356802401679,0.032905452957828,0.032807629755974,0.031584947950872,0.079116222872233,0.094724431083951,0.087832265943786,0.091666373345104,0.092378331420636,0.10514207725634,0.1159473083115,0.12539196618295,0.12793488009934,0.13775149397267,0.18194411136983,0.19509888180225,0.18467768154082,0.19355570638065,0.20529039609841,0.19464782580818,0.1769210245607,0.17357839610642,0.17915635574418,0.18716792547654,0.22130751404334,0.21349804470089,0.22778889278567,0.20923590593436,0.19923927384008,0.20093293520959
Burkina Faso,0.046030644550801,0.05628194250256,0.04996177144059,0.050648890116374,0.054564612240124,0.053065418300311,0.05221011928437,0.079590772081847,0.069951565234139,0.067138064533256,0.067403783688726,0.071334843167834,0.070934117319886,0.072724088581329,0.063029777563942,0.061814921503832,0.058189848118358,0.078659645012302,0.085760909185241,0.080103895463612,0.079243152364978,0.078040280515547,0.084510157388376,0.093334356261465,0.080587669016694,0.10933882654797,0.10105713975258,0.11227685795551,0.11478433183008,0.11315189015321,0.10984418622247,0.10980538391077
Bangladesh,0.077708920672429,0.0714374581059,0.075732837088742,0.076344516242978,0.079380294359683,0.092051657403116,0.089633955313547,0.092277857426149,0.089650545096144,0.091609007156845,0.094108927771379,0.10507621689103,0.10653702437566,0.10603566649009,0.10642263937757,0.10643830485776,0.10728069144368,0.10599683172618,0.11184011454713,0.11295668574378,0.11869658244978,0.11861085671867,0.11764561399762,0.11484549934119,0.11398894699323,0.12201098578055,0.11672988052712,0.11694442221899,0.11528650878375,0.11585300811196,0.11125073338747,0.10675353458156
Bulgaria,0.72572966478538,0.64561884041349,0.66671772329662,0.68539568533647,0.64372353590791,0.63886857642267,0.61151861558848,0.68613664765566,0.63180328102412,0.60811750841521,0.55727710964205,0.55935205001178,0.49850261702744,0.53298047951744,0.48080427220068,0.45909699157001,0.43921099125377,0.44131464773355,0.3931554938519,0.34525203267694,0.35909365990492,0.39050769499036,0.35197521481365,0.31575108678802,0.33068118259567,0.33736533042891,0.30836249654749,0.31457495114111,0.28794857630741,0.26533890941801,0.24356166715432,0.26997620540114
Bahrain,0.62616043608032,0.54287003289231,0.59894396449107,0.57400684544713,0.58611320025704,0.5732188851458,0.57054685498736,0.56970137763273,0.57624546528338,0.55540373437013,0.54108054565761,0.54680684166208,0.55258983336299,0.53794791321255,0.50348212430124,0.55325579723017,0.56588668009226,0.53082137235969,0.53475144016396,0.52125102796674,0.52091137355442,0.51371994212247,0.51602422297083,0.5204835425068,0.51719918953823,0.50720566936046,0.48995345794029,0.47372529172483,0.46769746375978,0.49416379231546,0.51587212534441,0.51883573452396
Bahamas,0.29008932034933,0.28711322196117,0.26978073052332,0.26456247035474,0.27433086116454,0.29713322316097,0.32323454419612,0.28100931191756,0.32730564963504,0.27284408614213,0.28162945882398,0.27790510434713,0.2692564068504,0.22044347899585,0.24118577091736,0.21603209744766,0.23189752932558,0.25839558812443,0.25769684975468,0.22750489823892,0.24800373133309,0.25382781929377,0.2991599261091,0.2992197814263,0.28899907536194,0.27010255613008,0.28068596256118,0.28224588866617,0.31928116437126,0.30941529043434,0.33502151747805,0.32806673688525
Bosnia and Herzegovina,3.0034688716226,3.151174495433,2.5097388133372,2.1453585567666,0.51955981861041,0.45706471414364,0.30142784544597,0.44095640039516,0.48244543538555,0.43404852294676,0.50357542573699,0.48534760551935,0.48595078748405,0.47915730747749,0.47555937068123,0.48071325324316,0.50567801533892,0.50399192434974,0.52459032383881,0.54092864813158,0.5494867111543,0.61876579025974,0.57604779110931,0.56059014871043,0.49674143093411,0.48252581425217,0.52720814738686,0.52148553696829,0.50477700680083,0.46309716471637,0.47343007433131,0.30123250714136
